=== bench . ===
goos: linux
goarch: amd64
pkg: github.com/axonops/audit
cpu: AMD Ryzen 9 7950X 16-Core Processor            
BenchmarkValidateFields_Success-32                         	10931799	       107.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidateFields_Success-32                         	11193315	       107.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidateFields_Success-32                         	11100933	       108.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidateFields_Success-32                         	11137638	       107.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidateFields_Success-32                         	11090857	       108.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidateFields_MissingRequired-32                 	 5035456	       231.4 ns/op	     144 B/op	       4 allocs/op
BenchmarkValidateFields_MissingRequired-32                 	 5303048	       224.2 ns/op	     144 B/op	       4 allocs/op
BenchmarkValidateFields_MissingRequired-32                 	 5276166	       229.0 ns/op	     144 B/op	       4 allocs/op
BenchmarkValidateFields_MissingRequired-32                 	 5307741	       224.3 ns/op	     144 B/op	       4 allocs/op
BenchmarkValidateFields_MissingRequired-32                 	 5339624	       226.2 ns/op	     144 B/op	       4 allocs/op
BenchmarkCheckUnknownFields_Strict-32                      	 2981737	       390.7 ns/op	     240 B/op	       7 allocs/op
BenchmarkCheckUnknownFields_Strict-32                      	 3104449	       382.5 ns/op	     240 B/op	       7 allocs/op
BenchmarkCheckUnknownFields_Strict-32                      	 3102368	       391.1 ns/op	     240 B/op	       7 allocs/op
BenchmarkCheckUnknownFields_Strict-32                      	 3138355	       379.9 ns/op	     240 B/op	       7 allocs/op
BenchmarkCheckUnknownFields_Strict-32                      	 3115702	       388.7 ns/op	     240 B/op	       7 allocs/op
BenchmarkCheckUnknownFields_Permissive-32                  	736544428	         1.595 ns/op	       0 B/op	       0 allocs/op
BenchmarkCheckUnknownFields_Permissive-32                  	774023097	         1.591 ns/op	       0 B/op	       0 allocs/op
BenchmarkCheckUnknownFields_Permissive-32                  	741873255	         1.596 ns/op	       0 B/op	       0 allocs/op
BenchmarkCheckUnknownFields_Permissive-32                  	727707746	         1.619 ns/op	       0 B/op	       0 allocs/op
BenchmarkCheckUnknownFields_Permissive-32                  	775033263	         1.593 ns/op	       0 B/op	       0 allocs/op
BenchmarkCopyFieldsWithDefaults/Fields_3-32                	 6720026	       178.0 ns/op	     336 B/op	       2 allocs/op
BenchmarkCopyFieldsWithDefaults/Fields_3-32                	 6947182	       191.7 ns/op	     336 B/op	       2 allocs/op
BenchmarkCopyFieldsWithDefaults/Fields_3-32                	 5705835	       196.6 ns/op	     336 B/op	       2 allocs/op
BenchmarkCopyFieldsWithDefaults/Fields_3-32                	 5650478	       203.7 ns/op	     336 B/op	       2 allocs/op
BenchmarkCopyFieldsWithDefaults/Fields_3-32                	 6827325	       188.3 ns/op	     336 B/op	       2 allocs/op
BenchmarkCopyFieldsWithDefaults/Fields_10-32               	 2297595	       503.4 ns/op	     954 B/op	       5 allocs/op
BenchmarkCopyFieldsWithDefaults/Fields_10-32               	 2448634	       493.4 ns/op	     954 B/op	       5 allocs/op
BenchmarkCopyFieldsWithDefaults/Fields_10-32               	 2352530	       500.0 ns/op	     954 B/op	       5 allocs/op
BenchmarkCopyFieldsWithDefaults/Fields_10-32               	 2452533	       494.0 ns/op	     954 B/op	       5 allocs/op
BenchmarkCopyFieldsWithDefaults/Fields_10-32               	 2422906	       487.3 ns/op	     954 B/op	       5 allocs/op
BenchmarkCopyFieldsWithDefaults/Fields_20-32               	 1000000	      1045 ns/op	    2140 B/op	       7 allocs/op
BenchmarkCopyFieldsWithDefaults/Fields_20-32               	  990770	      1044 ns/op	    2140 B/op	       7 allocs/op
BenchmarkCopyFieldsWithDefaults/Fields_20-32               	 1000000	      1054 ns/op	    2140 B/op	       7 allocs/op
BenchmarkCopyFieldsWithDefaults/Fields_20-32               	 1140273	      1047 ns/op	    2140 B/op	       7 allocs/op
BenchmarkCopyFieldsWithDefaults/Fields_20-32               	 1000000	      1058 ns/op	    2140 B/op	       7 allocs/op
BenchmarkComputeHMACFast-32                                	 7685066	       155.0 ns/op	 593.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkComputeHMACFast-32                                	 7710073	       155.2 ns/op	 592.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkComputeHMACFast-32                                	 7685503	       156.0 ns/op	 589.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkComputeHMACFast-32                                	 7754217	       155.4 ns/op	 592.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkComputeHMACFast-32                                	 7739385	       155.6 ns/op	 591.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkAudit-32                                          	 2806374	       422.4 ns/op	     210 B/op	       1 allocs/op
BenchmarkAudit-32                                          	 2902734	       408.4 ns/op	     204 B/op	       1 allocs/op
